Date,Open,High,Low,Close,Adj Close,Volume
2015-12-28,25.020000,25.537001,24.719999,24.889999,21.571751,20700
2016-01-04,24.430000,24.430000,22.920000,22.940001,19.881716,21900
2016-01-11,23.190001,23.490000,22.100000,22.260000,19.292376,28800
2016-01-18,22.719999,22.818001,22.030001,22.818001,19.775986,7500
2016-01-25,22.820000,23.090000,22.600000,22.840000,19.795052,10000
2016-02-01,22.809999,22.950001,22.200001,22.200001,19.240374,16700
2016-02-08,21.809999,21.882000,21.290001,21.719999,18.824366,17500
2016-02-15,21.719999,22.770000,21.719999,22.429001,19.438845,4900
2016-02-22,22.629999,22.716000,21.715000,22.350000,19.370377,12700
2016-02-29,22.410000,23.280001,22.080000,23.219999,20.124392,8800
2016-03-07,23.000000,23.719999,22.855000,23.719999,20.557735,16900
2016-03-14,23.700001,24.100000,23.520000,24.052999,20.846338,12200
2016-03-21,24.049999,24.097000,23.650000,23.650000,20.497065,10600
2016-03-28,23.604000,24.532000,23.604000,23.990000,20.791737,10500
2016-04-04,24.089001,24.089001,23.260000,23.559999,20.419062,11300
2016-04-11,23.740000,24.350000,23.549999,24.230000,20.999739,9300
2016-04-18,24.396999,25.260000,24.379999,24.920000,21.597752,8300
2016-04-25,24.809999,24.900000,24.650000,24.681999,21.391483,5700
2016-05-02,24.889999,25.030001,23.920000,24.150000,20.930407,12100
2016-05-09,24.400000,24.448999,23.811001,23.820000,20.644402,13900
2016-05-16,23.910000,23.989000,23.389999,23.639999,20.488400,3400
2016-05-23,23.500000,24.465000,23.500000,24.400000,21.147076,5700
2016-05-30,24.469999,24.530001,24.309999,24.309999,21.069075,1600
2016-06-06,24.500000,24.889999,23.450001,23.455999,20.328930,17300
2016-06-13,23.299999,23.330999,22.480000,23.330999,20.220592,18300
2016-06-20,24.469999,24.929001,22.240000,22.410000,19.422375,64800
2016-06-27,22.080000,23.160000,21.510000,23.014999,20.052567,53200
2016-07-04,22.430000,22.549999,21.790001,22.549999,19.647421,14800
2016-07-11,22.940001,23.747999,22.940001,23.559999,20.527414,16700
2016-07-18,23.469999,23.799999,23.230000,23.590000,20.553553,5600
2016-07-25,23.820000,24.455999,23.643000,24.420000,21.276716,10600
2016-08-01,24.260000,24.450001,23.990000,24.329000,21.197432,10400
2016-08-08,24.469999,25.375000,24.420000,25.240000,21.991165,27200
2016-08-15,25.420000,25.490000,25.040001,25.250000,21.999880,17000
2016-08-22,25.250000,25.410000,24.809999,24.809999,21.616516,7700
2016-08-29,24.860001,25.209999,24.860001,25.190001,21.947607,5900
2016-09-05,25.139999,25.528999,24.900000,24.900000,21.694931,5600
2016-09-12,24.580000,24.959999,24.219999,24.219999,21.102459,19500
2016-09-19,24.410000,25.431999,24.410000,25.150000,21.912752,14900
2016-09-26,24.743999,25.000000,24.417000,25.000000,21.782061,19900
2016-10-03,24.790001,25.139999,24.670000,24.799999,21.607801,12100
